"deposit_timestamp","transaction_hash","origin_chain_id","destination_chain_id","deposit_id","depositor_address","recipient_address","input_token_address","input_token_symbol","output_token_address","output_token_symbol","input_amount","output_amount"
"2025-12-02 23:05:39+01","0xae0398b89796785c329ae8441f8f64910c99494a45798a0b0b6523daf9217296",137,"1","2005128","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0x5a6c5b1d4c768bf5e8622ed7515c5b05f2777eba","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","105.906448","1.05831699e-10"
"2025-12-03 00:00:07+01","0xca31720d1ae5329a31a45594e32160cb07501af65669531f1d543d9a491519eb",137,"1","2005170","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xab9c5c67e2c55fb9a2eb636a593aefdd28693a0d","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","289.210603","2.89031089e-10"
"2025-12-03 00:30:39+01","0xc7dc221a0d95ddc313da03d021b1d6c84bd850f78c11ea5b404ce4577166cec6",137,"1","2005192","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0x4c52245b5b7bcaee585b7249406bd2da8035e42d","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","225.681094","2.25538237e-10"
"2025-12-03 04:15:23+01","0xb9a81a60b8c645c146cc53e7341dcb3fc3aa5cd96b08342c5902a14b21af9010",137,"1","2005341","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0x88ca968297fb70828796207d5a11e80b6703c7cd","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","371.686289","3.70519714e-10"
"2025-12-03 14:02:03+01","0x4d85552603d206e1b444a53af87774a01bc0faaaf9a9eafa2e1b95b396d24c2a",137,"1","2005912","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0x18128e178b274548420df9f55e16dbbedacb049d","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","165.848899","1.65327718e-10"
"2025-12-03 15:05:39+01","0x571f4f39806aec50b5e85e991ce95ab5ce29d0d399de150a9d3ac16864f6e028",137,"1","2005993","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0x7b2fdaa7352257f1ab5e018162ee82950e49db28","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","116.794606","1.16351814e-10"
"2025-12-03 19:35:39+01","0xb553646731ed4786da6eac3590059637591710ed546dab49596416687fb81e20",137,"42161","2006308","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0x0e50372d0e77124bd85879014f8697419b23b5f9","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","537.725137","5.37321896e-10"
"2025-12-03 20:07:59+01","0xb92a4b883304d6ecfe2bf39019978bac4ec38f013f118ad88f08be84db56c081",137,"1","2006339","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xd022a1165ff04df20f418fc2b60922f38324b581","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0","0x0000000000000000000000000000000000000000","ETH","133.259695","1.32828946e-10"
"2025-12-03 13:26:04+01","0x574c5cd557db44e9d52e6377b2bd0157624cd63801a068c56224379c9306b047",42161,"137","4044222","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9","USDT0","0x0000000000000000000000000000000000000000","POL","213.454287","2.12598415e-10"
"2025-12-02 23:15:11+01","0xc65c2cf1c202747a841b5bac54499bbaaa108c68e53d8c8598315f5649565153",1,"137","3470231","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","546.15","5.46072188e-10"
